# N, tildeAlpha, E                   , Ekin               , V                  , U_alike             , U_unlike
  2,       1.00, 3.3881606564838e-02 , 2.5849560030335e-02, 1.6102461512071e-02, 0.0000000000000e+00 , -8.0704149775681e-03
  4,       1.00, 4.6037232507954e-02 , 1.3274564660110e-01, 1.8326576848171e-02, -3.4965136026050e-02, -7.0069854915264e-02
  6,       1.00, -4.0730414135210e-03, 6.1677223411717e-01, 1.4209897050650e-02, -2.5367186153303e-01, -3.8138331104831e-01
  8,       1.00, -1.2876944823367e-01, 1.2628024999869e+00, 1.6716287331073e-02, -6.0293558490889e-01, -8.0535265064278e-01
 12,       1.00, -5.3113993751387e-01, 2.8197409207180e+00, 2.5176484070628e-02, -1.5348378493952e+00, -1.8412194929073e+00
  2,       0.40, 3.8026541724418e-02 , 2.1270532910477e-02, 1.9189777990764e-02, 0                   , -2.4337691768229e-03
  4,       0.40, 7.0487933896551e-02 , 5.7608740070653e-02, 3.6622557966353e-02, -1.3317176145969e-02, -1.0426187994486e-02
  6,       0.40, 9.6422208892808e-02 , 1.1990684175627e-01, 4.9719835328442e-02, -4.6472312495890e-02, -2.6732155696017e-02
  8,       0.40, 1.1459164678929e-01 , 2.3447469962276e-01, 5.6465341180507e-02, -1.1616829709571e-01, -6.0180096918270e-02
 12,       0.40, 1.2458207320081e-01 , 6.0479256488017e-01, 7.0314587232935e-02, -3.7391218616359e-01, -1.7661289274870e-01
  2,       0.05, 3.9905090937817e-02 , 1.9974702406019e-02, 1.9958378274566e-02, 0                   , -2.7989742769190e-05
  4,       0.05, 7.8705298938260e-02 , 5.0730827048623e-02, 3.9891401896001e-02, -1.1766212543090e-02, -1.5071746327416e-04
  6,       0.05, 1.1567661784329e-01 , 9.4759268690483e-02, 5.8966861767611e-02, -3.6382142551377e-02, -1.6673700634319e-03
  8,       0.05, 1.5268353775353e-01 , 1.5021150048097e-01, 7.7879056779166e-02, -7.3718595205173e-02, -1.6884243014358e-03